window_idx,true_label,original_xgboost_score,counterfactual_perfect_score,improvement,reduction_pct
0,0,0.000339,0.999999,0.99966,294876.26
1,1,0.999967,0.999999,3.2e-05,0.0
2,1,0.99989,0.999999,0.000109,0.01
3,1,0.073491,0.999999,0.926508,1260.71
4,0,9.1e-05,0.999999,0.999908,1098679.27
5,1,0.999851,0.999999,0.000148,0.01
6,0,0.00087,0.999999,0.999129,114841.09
7,1,0.999917,0.999999,8.2e-05,0.01
8,1,0.999914,0.999999,8.5e-05,0.01
9,0,0.001061,0.999999,0.998938,94149.73
10,0,6.3e-05,0.999999,0.999936,1586948.1
11,1,0.999267,0.999999,0.000732,0.07
12,0,0.000107,0.999999,0.999892,934391.18
13,1,0.999908,0.999999,9.1e-05,0.01
14,0,0.000211,0.999999,0.999788,473810.72
15,0,0.000199,0.999999,0.9998,502386.81
16,1,0.999819,0.999999,0.00018,0.02
17,1,0.999433,0.999999,0.000566,0.06
18,1,0.99996,0.999999,3.9e-05,0.0
19,1,0.99988,0.999999,0.000119,0.01
20,0,7.8e-05,0.999999,0.999921,1281785.67
21,1,0.99958,0.999999,0.000419,0.04
22,0,3.3e-05,0.999999,0.999966,3029282.04
23,1,0.999676,0.999999,0.000323,0.03
24,0,4.7e-05,0.999999,0.999952,2127104.87
25,1,0.998254,0.999999,0.001745,0.17
26,0,0.000219,0.999999,0.99978,456499.7
27,1,0.999963,0.999999,3.6e-05,0.0
28,0,0.00013,0.999999,0.999869,769070.84
29,1,0.997811,0.999999,0.002188,0.22
30,1,0.99594,0.999999,0.004059,0.41
31,1,0.996633,0.999999,0.003366,0.34
32,0,0.001993,0.999999,0.998006,50075.31
33,1,0.999966,0.999999,3.3e-05,0.0
34,1,0.999678,0.999999,0.000321,0.03
35,1,0.999674,0.999999,0.000325,0.03
36,1,0.999844,0.999999,0.000155,0.02
37,0,0.000117,0.999999,0.999882,854526.96
38,0,0.000239,0.999999,0.99976,418292.12
39,1,0.999591,0.999999,0.000408,0.04
40,1,0.999761,0.999999,0.000238,0.02
41,0,0.00016,0.999999,0.999839,624860.32
42,0,0.052469,0.999999,0.94753,1805.89
43,1,0.999715,0.999999,0.000284,0.03
44,1,0.998132,0.999999,0.001867,0.19
45,1,0.99987,0.999999,0.000129,0.01
46,0,3.8e-05,0.999999,0.999961,2630784.0
47,0,2.1e-05,0.999999,0.999978,4759533.56
48,1,0.999954,0.999999,4.5e-05,0.0
49,1,0.999753,0.999999,0.000246,0.02
50,0,0.000205,0.999999,0.999794,487680.6
51,1,0.999951,0.999999,4.8e-05,0.0
52,0,2.3e-05,0.999999,0.999976,4345832.25
53,1,0.999956,0.999999,4.3e-05,0.0
54,0,4e-05,0.999999,0.999959,2499272.68
55,0,5e-05,0.999999,0.999949,1999498.1
56,0,0.000212,0.999999,0.999787,471575.4
57,0,0.000202,0.999999,0.999797,494924.51
58,0,0.002416,0.999999,0.997583,41290.52
59,0,0.000238,0.999999,0.999761,420050.0
60,0,0.000128,0.999999,0.999871,781088.2
61,1,0.998747,0.999999,0.001252,0.13
62,1,0.999915,0.999999,8.4e-05,0.01
63,0,4.3e-05,0.999999,0.999956,2324938.39
64,0,5.6e-05,0.999999,0.999943,1785293.7
65,0,9.5e-05,0.999999,0.999904,1052419.75
66,1,0.999928,0.999999,7e-05,0.01
67,1,0.99996,0.999999,3.9e-05,0.0
68,1,0.999392,0.999999,0.000607,0.06
69,1,0.999931,0.999999,6.8e-05,0.01
70,0,0.002868,0.999999,0.997131,34767.35
71,0,0.000288,0.999999,0.999711,347109.82
72,0,6.9e-05,0.999999,0.99993,1448963.92
73,0,0.000351,0.999999,0.999648,284791.89
74,0,5.9e-05,0.999999,0.99994,1694526.35
75,0,0.000281,0.999999,0.999718,355758.87
76,0,9.2e-05,0.999999,0.999907,1086737.31
77,0,0.000205,0.999999,0.999794,487680.6
78,0,0.017396,0.999999,0.982603,5648.44
79,1,0.999824,0.999999,0.000175,0.02
80,0,0.0001,0.999999,0.999899,999799.02
81,0,0.000343,0.999999,0.999656,291436.4
82,1,0.999525,0.999999,0.000474,0.05
83,0,4.9e-05,0.999999,0.99995,2040297.9
84,1,0.99944,0.999999,0.000559,0.06
85,1,0.999974,0.999999,2.5e-05,0.0
86,1,0.999023,0.999999,0.000976,0.1
87,1,0.999812,0.999999,0.000187,0.02
88,0,0.000533,0.999999,0.999466,187513.56
89,1,0.038059,0.999999,0.96194,2527.5
90,0,0.000104,0.999999,0.999895,961345.06
91,0,0.000131,0.999999,0.999868,763199.76
