timestamp,severity,if_anomaly,root_cause,recommended_action,packet_loss_ratio
1,critical,1,interference,frequency_reallocation + power_control,0.97
1,normal,1,interference,frequency_reallocation + power_control,0.03
1,critical,1,interference,frequency_reallocation + power_control,0.97
1,normal,1,interference,frequency_reallocation + power_control,0.025
1,critical,1,interference,frequency_reallocation + power_control,1.0
1,degraded,1,interference,frequency_reallocation + power_control,0.891667
1,normal,1,mobility,handover_optimization + beam_tracking,0.0233333
1,normal,1,combined/other,multi-action (reroute + prioritize),0.0233333
1,normal,1,combined/other,multi-action (reroute + prioritize),0.0233333
1,critical,1,congestion,load_balancing + traffic_throttling,0.99875
1,normal,1,congestion,load_balancing + traffic_throttling,0.03
1,critical,1,congestion,load_balancing + traffic_throttling,0.998
1,normal,1,congestion,load_balancing + traffic_throttling,0.04
1,normal,1,combined/other,multi-action (reroute + prioritize),0.044
1,normal,1,interference,frequency_reallocation + power_control,0.044
1,normal,1,combined/other,multi-action (reroute + prioritize),0.022
1,normal,1,combined/other,multi-action (reroute + prioritize),0.0697
1,normal,1,combined/other,multi-action (reroute + prioritize),0.022
1,normal,1,interference,frequency_reallocation + power_control,0.022
1,normal,1,combined/other,multi-action (reroute + prioritize),0.0588
1,normal,1,combined/other,multi-action (reroute + prioritize),0.0039
1,normal,1,combined/other,multi-action (reroute + prioritize),0.0243
1,normal,1,interference,frequency_reallocation + power_control,0.0455
1,normal,0,combined/other,multi-action (reroute + prioritize),0.0704
1,normal,1,interference,frequency_reallocation + power_control,0.0368
1,normal,0,combined/other,multi-action (reroute + prioritize),0.0719
1,normal,0,interference,frequency_reallocation + power_control,0.0631
1,normal,1,mobility,handover_optimization + beam_tracking,0.0774
1,normal,1,mobility,handover_optimization + beam_tracking,0.0111
1,normal,0,combined/other,multi-action (reroute + prioritize),0.094
1,normal,0,interference,frequency_reallocation + power_control,0.0976
1,normal,0,combined/other,multi-action (reroute + prioritize),0.1466
1,normal,0,interference,frequency_reallocation + power_control,0.1105
1,normal,0,combined/other,multi-action (reroute + prioritize),0.0865
1,normal,0,interference,frequency_reallocation + power_control,0.1007
1,normal,0,mobility,handover_optimization + beam_tracking,0.1293
1,normal,0,mobility,handover_optimization + beam_tracking,0.1155
1,normal,0,combined/other,multi-action (reroute + prioritize),0.3375
1,normal,0,interference,frequency_reallocation + power_control,0.3122
1,normal,0,combined/other,multi-action (reroute + prioritize),0.3715
1,normal,0,interference,frequency_reallocation + power_control,0.228
1,normal,0,combined/other,multi-action (reroute + prioritize),0.2675
1,normal,0,interference,frequency_reallocation + power_control,0.3327
1,normal,0,mobility,handover_optimization + beam_tracking,0.3322
1,degraded,0,mobility,handover_optimization + beam_tracking,0.4695
1,critical,0,congestion,load_balancing + traffic_throttling,0.985
1,degraded,0,congestion,load_balancing + traffic_throttling,0.5653
1,degraded,0,congestion,load_balancing + traffic_throttling,0.8195
1,degraded,0,congestion,load_balancing + traffic_throttling,0.6623
1,degraded,0,congestion,load_balancing + traffic_throttling,0.6699
1,degraded,0,congestion,load_balancing + traffic_throttling,0.8801
1,degraded,1,mobility,handover_optimization + beam_tracking,0.643
1,critical,1,mobility,handover_optimization + beam_tracking,0.9263
1,degraded,0,congestion,load_balancing + traffic_throttling,0.8108
1,degraded,0,congestion,load_balancing + traffic_throttling,0.8422
1,degraded,0,congestion,load_balancing + traffic_throttling,0.7167
1,degraded,1,congestion,load_balancing + traffic_throttling,0.8866
1,critical,1,congestion,load_balancing + traffic_throttling,0.9143
1,degraded,1,congestion,load_balancing + traffic_throttling,0.8377
1,degraded,1,mobility,handover_optimization + beam_tracking,0.6837
1,degraded,1,mobility,handover_optimization + beam_tracking,0.6918
1,degraded,1,interference,frequency_reallocation + power_control,0.4192
1,normal,1,interference,frequency_reallocation + power_control,0.1358
1,normal,1,interference,frequency_reallocation + power_control,0.1358
1,normal,1,interference,frequency_reallocation + power_control,0.1358
1,normal,1,interference,frequency_reallocation + power_control,0.1358
1,normal,1,interference,frequency_reallocation + power_control,0.1358
1,degraded,1,interference,frequency_reallocation + power_control,0.4192
1,degraded,1,interference,frequency_reallocation + power_control,0.4192
2,degraded,1,interference,frequency_reallocation + power_control,0.755
2,critical,1,interference,frequency_reallocation + power_control,0.875
2,degraded,1,interference,frequency_reallocation + power_control,0.8825
2,critical,1,interference,frequency_reallocation + power_control,1.0
2,critical,1,interference,frequency_reallocation + power_control,0.911667
2,critical,1,interference,frequency_reallocation + power_control,1.0
2,normal,1,mobility,handover_optimization + beam_tracking,0.0
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0
2,critical,1,congestion,load_balancing + traffic_throttling,0.9325
2,critical,1,congestion,load_balancing + traffic_throttling,0.9075
2,critical,1,congestion,load_balancing + traffic_throttling,0.995
2,critical,1,congestion,load_balancing + traffic_throttling,0.911
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0759
2,normal,1,interference,frequency_reallocation + power_control,0.0711
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0795
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0516
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0717
2,normal,1,interference,frequency_reallocation + power_control,0.017
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0561
2,normal,1,combined/other,multi-action (reroute + prioritize),0.049
2,normal,1,combined/other,multi-action (reroute + prioritize),0.0581
2,normal,1,interference,frequency_reallocation + power_control,0.0006
2,normal,0,combined/other,multi-action (reroute + prioritize),0.0364
2,normal,1,interference,frequency_reallocation + power_control,0.0307
2,normal,0,combined/other,multi-action (reroute + prioritize),0.005
2,normal,0,interference,frequency_reallocation + power_control,0.053
2,normal,1,mobility,handover_optimization + beam_tracking,0.0139
2,normal,1,mobility,handover_optimization + beam_tracking,0.0016
2,normal,0,combined/other,multi-action (reroute + prioritize),0.1156
2,normal,0,interference,frequency_reallocation + power_control,0.1139
2,normal,0,combined/other,multi-action (reroute + prioritize),0.1516
2,normal,0,interference,frequency_reallocation + power_control,0.1371
2,normal,0,combined/other,multi-action (reroute + prioritize),0.1085
2,normal,0,interference,frequency_reallocation + power_control,0.1285
2,normal,0,mobility,handover_optimization + beam_tracking,0.1032
2,normal,0,mobility,handover_optimization + beam_tracking,0.1485
2,degraded,0,combined/other,multi-action (reroute + prioritize),0.4279
2,normal,0,interference,frequency_reallocation + power_control,0.2312
2,degraded,0,combined/other,multi-action (reroute + prioritize),0.4695
2,normal,0,interference,frequency_reallocation + power_control,0.2896
2,normal,0,combined/other,multi-action (reroute + prioritize),0.3463
2,normal,0,interference,frequency_reallocation + power_control,0.3197
2,normal,0,mobility,handover_optimization + beam_tracking,0.3441
2,normal,0,mobility,handover_optimization + beam_tracking,0.2119
2,degraded,0,congestion,load_balancing + traffic_throttling,0.7514
2,degraded,0,congestion,load_balancing + traffic_throttling,0.5476
2,degraded,0,congestion,load_balancing + traffic_throttling,0.8756
2,degraded,0,congestion,load_balancing + traffic_throttling,0.6242
2,degraded,0,congestion,load_balancing + traffic_throttling,0.584
2,critical,0,congestion,load_balancing + traffic_throttling,1.0
2,critical,1,mobility,handover_optimization + beam_tracking,0.9136
2,degraded,1,mobility,handover_optimization + beam_tracking,0.8374
2,critical,1,congestion,load_balancing + traffic_throttling,1.0
2,critical,1,congestion,load_balancing + traffic_throttling,0.9558
2,critical,1,congestion,load_balancing + traffic_throttling,0.9844
2,critical,1,congestion,load_balancing + traffic_throttling,1.0
2,critical,1,congestion,load_balancing + traffic_throttling,1.0
2,critical,1,congestion,load_balancing + traffic_throttling,1.0
2,degraded,1,mobility,handover_optimization + beam_tracking,0.8055
2,degraded,1,mobility,handover_optimization + beam_tracking,0.6948
2,normal,1,interference,frequency_reallocation + power_control,0.2798
2,normal,1,interference,frequency_reallocation + power_control,0.0986
2,normal,1,interference,frequency_reallocation + power_control,0.0986
2,normal,1,interference,frequency_reallocation + power_control,0.0986
2,normal,1,interference,frequency_reallocation + power_control,0.0986
2,normal,1,interference,frequency_reallocation + power_control,0.0986
2,normal,1,interference,frequency_reallocation + power_control,0.2798
2,normal,1,interference,frequency_reallocation + power_control,0.2798
3,critical,1,interference,frequency_reallocation + power_control,0.86
3,normal,1,interference,frequency_reallocation + power_control,0.345
3,degraded,1,combined/other,multi-action (reroute + prioritize),0.76
3,degraded,1,interference,frequency_reallocation + power_control,0.7225
3,degraded,1,interference,frequency_reallocation + power_control,0.883333
3,normal,1,interference,frequency_reallocation + power_control,0.0266667
3,normal,1,mobility,handover_optimization + beam_tracking,0.0
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0
3,critical,1,congestion,load_balancing + traffic_throttling,1.0
3,degraded,1,congestion,load_balancing + traffic_throttling,0.86625
3,critical,1,congestion,load_balancing + traffic_throttling,0.949
3,degraded,1,congestion,load_balancing + traffic_throttling,0.893
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0767
3,normal,1,interference,frequency_reallocation + power_control,0.0431
3,normal,1,combined/other,multi-action (reroute + prioritize),0.017
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0777
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0041
3,normal,1,interference,frequency_reallocation + power_control,0.0293
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0572
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0308
3,normal,0,combined/other,multi-action (reroute + prioritize),0.0768
3,normal,0,interference,frequency_reallocation + power_control,0.0105
3,normal,1,combined/other,multi-action (reroute + prioritize),0.068
3,normal,1,interference,frequency_reallocation + power_control,0.0663
3,normal,1,combined/other,multi-action (reroute + prioritize),0.0669
3,normal,1,interference,frequency_reallocation + power_control,0.0631
3,normal,1,mobility,handover_optimization + beam_tracking,0.0782
3,normal,1,mobility,handover_optimization + beam_tracking,0.0247
3,normal,0,combined/other,multi-action (reroute + prioritize),0.0987
3,normal,0,interference,frequency_reallocation + power_control,0.1298
3,normal,0,combined/other,multi-action (reroute + prioritize),0.1215
3,normal,0,interference,frequency_reallocation + power_control,0.1201
3,normal,0,combined/other,multi-action (reroute + prioritize),0.1295
3,normal,0,interference,frequency_reallocation + power_control,0.1561
