window_idx,true_label,score_isolation_forest,score_random_forest,score_xgboost,score_lstm_autoencoder,score_anomaly_transformer
0,0,0.4461993900871243,0.0021071618631075067,9.520625e-05,0.011879035,6.3167353
1,0,0.4430056958725201,0.20669292383263302,0.05975605,0.0126070725,6.370555
2,1,0.44617875012020713,0.3327361492396159,0.3197968,0.01362737,599.11035
3,0,0.45748865615372575,0.3086792210885589,0.3517841,0.013075831,9.468139
4,0,0.4542334081297808,0.05136619952183124,0.0044000065,0.011286352,6.298161
5,0,0.453504633365714,0.06967920691967486,0.00444083,0.012793422,6.292684
6,1,0.4526143685693933,0.7679116199029052,0.95968497,0.012570886,7.585176
7,0,0.463320665113293,0.08608356660371949,0.00491244,0.014478336,6.3263865
8,0,0.45132246173900537,0.07794372765197805,0.004981539,0.016535776,6.360759
9,1,0.44855290497252126,0.9946737303937861,0.9999089,0.03300232,643.9021
10,1,0.4520832739145706,0.9988396920197196,0.9999372,0.08803307,644.1066
11,1,0.45381980220911156,0.9954397148626587,0.9999168,0.077920176,644.1325
12,1,0.44860941778821406,0.998781955739136,0.9999658,0.06541267,644.3946
13,1,0.46258215111480566,0.9966904072941869,0.99995434,0.09413541,644.7179
14,1,0.43678117828975643,1.0,0.99997246,0.08922484,645.1694
15,1,0.4384883128085373,0.999730967259621,0.99996305,0.07776804,645.5929
16,1,0.4411226350736998,0.9996399431634603,0.99996376,0.06588931,646.1104
17,1,0.4515580124259459,0.9995021184505333,0.99997973,0.049126808,646.28394
18,1,0.46478535010499317,0.999730967259621,0.99996793,0.0560255,646.4552
19,1,0.452093681982254,1.0,0.99996924,0.058334954,646.7057
20,1,0.46353211397696464,1.0,0.9985916,0.06853861,646.7695
21,1,0.4611482660460849,1.0,0.9999715,0.062496234,647.2253
22,1,0.46433676694494425,1.0,0.9999727,0.06493086,647.5412
23,1,0.473038767285956,1.0,0.99997914,0.053452667,647.95624
24,1,0.4748287688387494,1.0,0.9999629,0.04232861,648.3482
25,0,0.43754296245489493,0.001042494416898246,0.0015358602,0.029548926,6.335669
26,0,0.43394336733656985,0.0001971895942720982,0.0022892547,0.028056202,6.372921
27,0,0.4319097009807765,0.0019999381183428196,0.0034134553,0.02547611,6.3402987
28,0,0.42941109671055383,5.4804549300455225e-05,2.064249e-05,0.022655824,6.2971244
29,0,0.42773810125607165,4.238853423486036e-05,1.4769713e-05,0.021892779,6.263414
30,0,0.43544860085532466,2.8451932229005063e-05,2.6624495e-05,0.019854868,6.2545753
31,0,0.44313959009921156,0.0001036018528498481,2.810588e-05,0.019445367,6.2286773
32,0,0.4388784629127358,2.2434012620037925e-05,1.4144156e-05,0.018682638,6.2366767
33,0,0.4289423115233424,0.00024632275754862695,5.464813e-05,0.01936948,6.2325163
34,0,0.46178536554970284,0.010736168753742302,0.000132422,0.019746773,6.2666125
35,0,0.4458627317919915,0.0017794623419656941,8.3227664e-05,0.016913893,6.273442
36,0,0.4450966760979118,2.889660624630876e-05,2.3731885e-05,0.0148964245,6.275296
37,0,0.43983125992877053,4.283320825216405e-05,3.299592e-05,0.014947217,6.277329
38,0,0.43491550208648244,0.00028527425139896287,0.00019629287,0.012503719,6.2894645
39,0,0.4502991108061979,0.0056668009982760136,0.0010981592,0.012497442,6.290892
40,0,0.4465630317633468,0.02307718487830264,0.00012267867,0.012343226,6.315279
41,1,0.43686574399888795,0.44418668596923405,0.62742066,0.012271691,11.05105
42,0,0.44708017419049373,0.39519389138878047,0.60380584,0.013472653,144.87778
43,1,0.45158867835695143,0.5648668590138929,0.8418418,0.013914164,638.64984
44,1,0.44648922740127966,0.903022161484812,0.9995741,0.011424557,9.249595
45,0,0.4449350324075751,0.16250958197770038,0.004956532,0.012854459,6.296342
46,0,0.441772147963617,0.6847454375153625,0.5476765,0.012689764,6.3309946
47,0,0.4601563956915429,0.40344926462713804,0.45529434,0.014720912,7.9903235
48,0,0.44412120765988394,0.3870349220457229,0.4337895,0.016079847,8.488752
49,1,0.4458111539711151,0.9951733022200144,0.99992657,0.034559853,643.7988
50,1,0.454095512398135,0.9950070117658614,0.9999305,0.080965474,644.1326
51,1,0.45103210700773805,0.9961368063989486,0.99994564,0.10112732,644.2222
52,1,0.4464702573112516,0.999826606580239,0.99996316,0.12043573,644.5365
53,1,0.4592004349266632,0.9976772091004246,0.9999752,0.096253194,644.9199
54,1,0.43167202937575644,1.0,0.9999715,0.08677113,645.3308
55,1,0.44171220336445016,1.0,0.9999666,0.075368814,645.5195
56,1,0.44502532717833637,1.0,0.9999615,0.066282816,646.1132
57,1,0.4428101483222643,1.0,0.9999614,0.04706604,646.27576
58,1,0.4489713209333379,1.0,0.99996483,0.055052105,646.4175
59,1,0.45030199787486525,1.0,0.9999697,0.056852736,646.73334
60,1,0.4712202305952603,1.0,0.9999566,0.06803263,646.98413
61,1,0.480765470657045,1.0,0.9999628,0.059609644,647.3341
62,1,0.48543426672153756,0.9985686728579272,0.9980116,0.06258721,647.5699
63,1,0.4910950433382309,0.9985686728579272,0.9976489,0.052032877,647.82635
64,1,0.4940535568412116,0.9994000508346693,0.9999362,0.041741442,648.19885
65,0,0.43892027799224087,0.007855562580077384,0.0021906798,0.028876102,6.3623586
66,0,0.4384762278725893,0.006928754163320887,0.0019498328,0.027053319,6.373119
67,0,0.43057657774583846,0.004361709044489063,0.003825872,0.025060391,6.3400474
68,0,0.4269054913766034,0.0014551738993420175,6.11673e-05,0.022570433,6.297537
69,0,0.426003394027596,5.115405411357257e-05,2.2890083e-05,0.021746691,6.270989
70,0,0.4278676532808861,5.115405411357257e-05,3.9542767e-05,0.019965846,6.258249
71,0,0.43927198835482634,0.00012633798327481763,2.3749906e-05,0.019472301,6.2277446
72,0,0.44296039694039274,7.999659850084065e-05,1.2852246e-05,0.018437667,6.227515
73,0,0.42771199776703867,0.00014941013681317016,8.784846e-05,0.019279985,6.2182117
74,0,0.45879960859206304,0.024320015489741352,0.0035612278,0.01907638,6.256108
75,0,0.441407085262433,0.0005053638324029775,0.0026252912,0.016117813,6.2657657
76,0,0.4424113788315554,0.0015297672832785666,9.873636e-05,0.013915872,6.275477
77,0,0.4426903806527834,0.001023347523454215,3.3413104e-05,0.013903713,6.28285
78,0,0.4365321755292432,0.0005565166078597311,3.8076952e-05,0.01257059,6.2955575
79,0,0.45038790287257624,0.008682772751721836,7.5742726e-05,0.01245574,6.2870784
80,0,0.4515354400941368,0.036635643839921954,0.00011881177,0.011789978,6.316613
81,1,0.4413739308497883,0.4399140158655509,0.3863153,0.012156161,39.74691
82,1,0.44874016552073104,0.48364571076427654,0.8118378,0.01326461,521.7259
83,1,0.4514136605513561,0.5108591661686267,0.8339559,0.013756008,637.09875
84,1,0.4462102351990229,0.8848036229972962,0.99917513,0.011420911,8.111122
85,0,0.4475632307266509,0.14028465619033983,0.003753821,0.012907162,6.273628
86,0,0.44095311968881695,0.833028890533772,0.95625615,0.012535481,7.4402146
87,1,0.45016866515993537,0.8242575420159248,0.99183273,0.014469932,390.47644
88,1,0.44441047306655546,0.8677468691558261,0.9996426,0.016148897,639.88525
89,1,0.44319744841358555,0.9974872841578591,0.99993324,0.03263979,644.0519
90,1,0.4485687520679261,0.9981157121242169,0.9999193,0.08108968,644.28625
91,1,0.4449903978230049,1.0,0.9999529,0.10078972,644.4012
92,1,0.4474614619097788,1.0,0.9999672,0.113377996,644.49255
93,1,0.46626716737221263,0.9972761570698534,0.9999355,0.093246944,644.10474
94,1,0.44840200848826844,1.0,0.99996495,0.08552449,645.28015
95,1,0.449145560132926,1.0,0.9999641,0.07646429,645.7787
96,1,0.45838571943851353,1.0,0.9999621,0.063958906,646.1692
97,1,0.4547938666154308,1.0,0.99997795,0.046173982,646.3948
98,1,0.46314625968501205,1.0,0.99997413,0.053136155,646.4967
99,1,0.46737707786440985,0.9994000508346693,0.99997306,0.055689376,646.81555
100,1,0.4593858009164142,1.0,0.9990313,0.06630872,646.98346
101,1,0.46144486564057763,1.0,0.99997914,0.05930308,647.2945
