window_idx,true_label,root_cause,recommended_action,score_isolation_forest,score_copod,score_xgboost_supervised
0,0,subtle_anomaly,monitor closely + collect more contextual data,0.43776898314285,57.665079223598745,0.00033914123
1,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.450201978395728,61.75304358706471,0.99996686
2,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4093944743039979,55.89605355010966,0.9998903
3,1,subtle_anomaly,monitor closely + collect more contextual data,0.4170770333593695,53.035185429707234,0.07349138
4,0,subtle_anomaly,monitor closely + collect more contextual data,0.4143838453075197,48.57285391532248,9.1459624e-05
5,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.469671769651067,65.056073450376,0.9998512
6,0,subtle_anomaly,monitor closely + collect more contextual data,0.4274530343142946,56.19195158448152,0.00086987327
7,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3939751114767789,52.599693280117215,0.99991703
8,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5360709139456679,102.09085271626982,0.9999138
9,0,isolation_outlier,inspect individual extreme values + check for sensor drift,0.5020238282372564,75.38717283185917,0.0010610885
10,0,subtle_anomaly,monitor closely + collect more contextual data,0.4195937201102996,53.81041111198205,6.266495e-05
11,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4145590106811357,50.6986709513691,0.99926716
12,0,subtle_anomaly,monitor closely + collect more contextual data,0.4734963245601651,71.48431277640414,0.00010724919
13,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4882516015751377,70.79498426862085,0.99990773
14,0,subtle_anomaly,monitor closely + collect more contextual data,0.3969242821229882,47.727530522382914,0.00021133132
15,0,subtle_anomaly,monitor closely + collect more contextual data,0.4452403136824138,54.77368962652155,0.00019877694
16,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5494349984878522,114.97760232909154,0.9998186
17,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.3950052788141264,50.87202069152863,0.99943334
18,1,collective_anomaly,investigate multivariate patterns + check correlated KPIs,0.5459539151882752,98.18430216039977,0.9999597
19,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4061852826683868,54.41786116416142,0.9998796
20,0,subtle_anomaly,monitor closely + collect more contextual data,0.4523101069429961,63.79881397337995,7.787757e-05
21,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4614653337871391,61.16245111712735,0.9995801
22,0,subtle_anomaly,monitor closely + collect more contextual data,0.4157398489960776,49.69875186047878,3.279577e-05
23,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4346581349755895,62.39139994412632,0.9996755
24,0,subtle_anomaly,monitor closely + collect more contextual data,0.3834996390911065,43.46816354726927,4.66079e-05
25,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4174538079677725,52.72794377311312,0.9982541
26,0,subtle_anomaly,monitor closely + collect more contextual data,0.4491211983256046,65.23933813444745,0.00021908664
27,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4499099583358025,59.44569798889222,0.9999628
28,0,isolation_outlier,inspect individual extreme values + check for sensor drift,0.4806041586821548,65.05376981032212,0.00012961007
29,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4226837123695152,55.46042354713125,0.9978114
30,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4672808160621414,66.81934083455701,0.99593985
31,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4407346704664991,58.51045327166013,0.996633
32,0,subtle_anomaly,monitor closely + collect more contextual data,0.4216681993504237,53.0887566751517,0.0019925304
33,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4433951707404186,58.66949480251563,0.9999658
34,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4255336167398378,61.92794767525818,0.9996779
35,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4472308723612733,62.8168029942837,0.9996737
36,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4142961081058329,55.91781236483876,0.9998435
37,0,subtle_anomaly,monitor closely + collect more contextual data,0.4107282913540588,49.43493358813579,0.00011663538
38,0,subtle_anomaly,monitor closely + collect more contextual data,0.4242706292202804,63.06883415177938,0.0002392186
39,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.4294069298963865,56.159594511616326,0.9995913
40,1,temporal_pattern_anomaly,analyze time-series behavior + review LSTM/Transformer features,0.408049734684102,49.644437598926025,0.9997609
