timestamp,ue_id,sinr_dl_db,mcs_dl,throughput_mbps,delay_ms,jitter_ms,packet_loss_ratio,prb_utilization,retransmissions,cqi,load_level,mobility_speed,shadowing_enabled,traffic_type,sla_violations,severity,severity_pred,severity_final,sla_viol_delay_ms,sla_viol_jitter_ms,sla_viol_packet_loss_ratio,sla_viol_throughput_mbps
1,1,-20.5135,0,0.058944,268.886,4.16667,0.97,4,283,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,0,1,1
2,1,-5.82407,0,0.481376,135.327,6.69679,0.755,6,1,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,1,0,1,0
3,1,-12.0509,0,0.275072,241.141,25.898,0.86,3,271,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
4,1,-9.7437,0,0.0,0.0,0.0,1.0,4,410,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,0,0,1,1
5,1,-7.68551,0,0.324192,133.992,20.0,0.835,3,339,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
6,1,4.95492,10,1.81744,18.2749,2.55598,0.075,1,5,6,1,0,0,VoIP,1,MEDIUM,HIGH,HIGH,0,0,1,0
7,1,-7.13647,0,0.186656,320.217,30.3647,0.905,2,344,0,1,0,0,VoIP,3,HIGH,LOW,LOW,1,1,1,0
8,1,1.84273,8,1.90586,6.31501,0.391752,0.03,2,0,5,1,0,0,VoIP,1,MEDIUM,LOW,LOW,0,0,1,0
9,1,-30.4922,0,0.225952,84.2056,6.95652,0.885,7,311,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,1,0,1,0
10,1,-15.3486,0,0.501024,129.648,24.9776,0.745,10,512,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
11,1,-20.4995,0,0.0,0.0,0.0,1.0,4,444,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,0,0,1,1
12,1,-12.9424,0,0.029472,712.933,167.071,0.985,6,312,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
13,1,-23.3174,0,0.255424,126.084,20.5769,0.87,10,490,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
14,1,-11.9328,0,0.14736,4.69523,0.666667,0.925,3,233,0,1,0,0,VoIP,1,MEDIUM,MEDIUM,MEDIUM,0,0,1,0
15,1,4.91846,10,1.69955,10.7503,1.33774,0.135,3,7,6,1,0,0,VoIP,1,MEDIUM,MEDIUM,MEDIUM,0,0,1,0
16,1,-16.2212,0,0.04912,443.171,82.9714,0.975,3,545,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
17,1,-5.01304,0,0.54032,137.877,5.92727,0.725,4,0,1,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
18,1,-5.01304,0,0.54032,137.877,5.92727,0.725,4,0,1,1,0,0,VoIP,2,MEDIUM,MEDIUM,MEDIUM,1,0,1,0
19,1,-7.50592,0,0.451904,131.39,15.972,0.77,8,191,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
20,1,-10.0023,0,0.04912,396.029,117.214,0.975,4,175,0,1,0,0,VoIP,4,HIGH,MEDIUM,MEDIUM,1,1,1,1
21,1,-13.7817,26,0.265248,185.121,40.8704,0.865,2,127,0,1,0,0,VoIP,3,HIGH,MEDIUM,MEDIUM,1,1,1,0
22,1,-9.72888,0,0.550144,147.064,3.86607,0.72,7,480,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
23,1,-15.4554,0,0.019648,495.386,60.0,0.99,3,472,0,1,0,0,VoIP,4,HIGH,HIGH,HIGH,1,1,1,1
24,1,-17.5787,0,0.235776,176.999,26.6667,0.88,1,326,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
25,1,-24.9969,0,0.0,0.0,4.16667,1.0,5,275,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,0,0,1,1
26,1,-5.82407,0,0.864512,108.441,5.09385,0.56,7,0,0,1,0,0,VoIP,2,MEDIUM,HIGH,HIGH,1,0,1,0
27,1,-12.0509,0,0.14736,457.162,40.6512,0.925,4,364,0,1,0,0,VoIP,3,HIGH,HIGH,HIGH,1,1,1,0
28,1,-28.1043,0,0.0,0.0,0.0,1.0,4,417,0,1,0,0,VoIP,2,MEDIUM,LOW,LOW,0,0,1,1
29,1,-7.68551,0,0.039296,509.814,25.3784,0.98,2,333,0,1,0,0,VoIP,4,HIGH,LOW,LOW,1,1,1,1
30,1,28.9423,28,1.89603,15.8894,2.43348,0.035,2,9,15,1,0,0,VoIP,1,MEDIUM,LOW,LOW,0,0,1,0
