sinr_dl_db,mcs_dl,packet_loss_ratio,prb_utilization,retransmissions,cqi,load_level,mobility_speed,shadowing_enabled,throughput_mbps_roll3,throughput_mbps_roll5,throughput_mbps_lag1,throughput_mbps_lag3,jitter_ms_roll3,jitter_ms_roll5,jitter_ms_lag1,jitter_ms_lag3,sinr_dl_db_roll3,sinr_dl_db_roll5,sinr_dl_db_lag1,sinr_dl_db_lag3,packet_loss_ratio_roll3,packet_loss_ratio_roll5,packet_loss_ratio_lag1,packet_loss_ratio_lag3,timestamp,ue_id,y_true,y_pred
89.0884,28,0.0233333,2,0,15,3,10,0,2.475646,1.8567345,1.06099,0.0,3.058424666666667,2.2938185,5.04387,0.0,22.54747333333333,11.213654999999997,-3.55328,-22.7878,0.5800001,0.685000075,0.82,1.0,1,5,0.449374,-0.11724818
89.0884,28,0.0233333,2,0,15,3,1,0,4.19157,2.6367596,5.75686,0.609088,1.9808726666666667,1.9249296,0.449374,3.68203,58.20784,26.788604,89.0884,-17.8927,0.28888886666666663,0.5526667200000001,0.0233333,0.896667,1,5,0.449374,0.15826155
89.0884,28,0.0233333,2,0,15,3,3,0,5.75686,3.7881316,5.75686,1.06099,0.449374,2.0148044,0.449374,5.04387,89.0884,49.163844,89.0884,-3.55328,0.0233333,0.35733338,0.0233333,0.82,1,5,0.449374,0.3514046
-14.5932,26,0.89875,2,55,0,4,0,0,4.103154666666666,3.8254627999999995,5.75686,5.75686,1.2559326666666666,1.8522083999999999,0.449374,0.449374,54.52786666666666,49.82374399999999,89.0884,89.0884,0.3151388666666667,0.35774998,0.0233333,0.0233333,1,5,2.86905,4.7384458
-22.7878,0,1.0,4,286,0,4,0,1,2.184201333333333,3.6132647999999996,0.795744,5.75686,1.1061413333333334,0.8434343999999999,2.86905,0.449374,17.235799999999998,45.976839999999996,-14.5932,89.0884,0.6406944333333334,0.39374998000000005,0.89875,0.0233333,1,5,0.0,1.4841359
-17.8927,26,0.902,2,56,0,5,0,0,0.5861653333333333,2.6544432000000002,0.0,5.75686,1.7615,1.2366496,0.0,0.449374,-18.424566666666667,24.580619999999996,-22.7878,89.0884,0.9335833333333334,0.56948332,1.0,0.0233333,1,5,2.41545,5.913694
-22.7878,0,1.0,4,289,0,5,0,1,0.32091733333333333,1.5030712,0.962752,0.795744,0.8051500000000001,1.1467748,2.41545,2.86905,-21.156100000000002,2.2053799999999955,-17.8927,-14.5932,0.9673333333333334,0.76481666,0.902,0.89875,1,5,0.0,-2.4233835
-8.72846,0,0.955,3,438,0,1,0,0,0.3503893333333334,0.3693824,0.0,0.0,19.768116666666668,12.43468,0.0,0.0,-16.469653333333333,-17.357992000000003,-22.7878,-22.7878,0.9523333333333334,0.9511499999999999,1.0,1.0,2,5,56.8889,41.43819
-14.5299,0,0.99,2,341,0,1,0,1,0.03602133333333333,0.2141632,0.088416,0.962752,118.47496666666666,71.56807,56.8889,2.41545,-15.34872,-17.345332000000003,-8.72846,-17.8927,0.9816666666666668,0.9693999999999999,0.955,0.902,2,5,298.536,100.989815
-8.72846,0,0.9575,3,479,0,2,0,0,0.09169066666666666,0.2475648,0.019648,0.0,129.0324,77.90253,298.536,0.0,-10.662273333333333,-14.533464,-14.5299,-22.7878,0.9674999999999999,0.9609,0.99,1.0,2,5,31.6723,33.139984
-14.5299,0,0.9925,4,330,0,2,0,1,0.07204266666666666,0.0609088,0.167008,0.088416,152.6251,102.95284,31.6723,56.8889,-12.596086666666666,-13.860904,-8.72846,-8.72846,0.98,0.9789999999999999,0.9575,0.955,2,5,127.667,153.631
-8.72846,0,0.99,2,362,0,3,0,0,0.08514133333333333,0.0726976,0.029472,0.019648,78.92790000000001,118.44171999999999,127.667,298.536,-10.662273333333333,-11.049036000000001,-14.5299,-14.5299,0.9800000000000001,0.977,0.9925,0.99,2,5,77.4444,47.294594
-7.24741,0,1.0,3,23,0,3,0,1,0.029472,0.0550144,0.058944,0.167008,68.37046666666667,107.06394,77.4444,31.6723,-10.16859,-10.752826000000002,-8.72846,-8.72846,0.9941666666666668,0.986,0.99,0.9575,2,5,0.0,55.555294
89.0884,28,0.0,2,0,15,3,10,0,1.9844480000000002,1.2299647999999999,0.0,0.029472,25.963759999999997,47.446116,0.0,127.667,24.37084333333333,9.970833999999996,-7.24741,-14.5299,0.6633333333333334,0.788,1.0,0.9925,2,5,0.44688,1.5737362
89.0884,28,0.0,2,0,15,3,1,0,3.9296,2.3754432000000003,5.8944,0.058944,0.29792,41.201032,0.44688,77.4444,56.97646333333333,29.534205999999994,89.0884,-8.72846,0.3333333333333333,0.5965,0.0,0.99,2,5,0.44688,-0.30958536
89.0884,28,0.0,2,0,15,3,3,0,5.8944,3.5484288,5.8944,0.0,0.44688,15.757007999999999,0.44688,0.0,89.0884,50.25786599999999,89.0884,-7.24741,0.0,0.398,0.0,1.0,2,5,0.44688,0.3841887
15.3374,22,0.89,2,321,12,4,0,0,4.217770666666667,3.7095424,5.8944,5.8944,3.594996666666667,2.2463740000000003,0.44688,0.44688,64.50473333333333,55.071038,89.0884,89.0884,0.2966666666666667,0.378,0.0,0.0,2,5,9.89123,8.078247
-3.61669,2,0.99125,4,169,2,4,0,1,2.2758933333333333,3.723296,0.864512,5.8944,18.401803333333334,11.219834,9.89123,0.44688,33.60303666666666,55.797182,15.3374,89.0884,0.6270833333333333,0.37625000000000003,0.89,0.0,2,5,44.8673,33.10151
-3.58828,2,0.798,4,6,2,5,0,0,0.9725766666666665,2.941306,0.068768,5.8944,19.008383333333335,11.583782000000001,44.8673,0.44688,2.71081,37.261846,-3.61669,89.0884,0.8930833333333333,0.53585,0.99125,0.0,2,5,2.26662,3.971438
-9.35187,0,1.0,3,179,0,5,0,1,0.6844060000000001,1.762426,1.98445,0.864512,15.711306666666667,11.494406000000001,2.26662,9.89123,-5.518946666666667,17.573791999999997,-3.58828,15.3374,0.92975,0.73585,0.798,0.89,2,5,0.0,25.321264
-18.8552,0,0.88,9,269,0,1,0,0,0.7400753333333334,0.6307012000000001,0.0,0.068768,3.0472066666666664,12.78003,0.0,44.8673,-10.59845,-4.014927999999999,-9.35187,-3.61669,0.8926666666666666,0.91185,1.0,0.99125,3,5,6.875,10.648826
-12.3607,0,0.995,4,514,0,1,0,1,0.08186666666666667,0.45976359999999994,0.235776,1.98445,2.2916666666666665,10.801784000000001,6.875,2.26662,-13.52259,-9.554548,-18.8552,-3.58828,0.9583333333333334,0.93285,0.88,0.798,3,5,0.0,-1.5681391
-18.8552,0,0.915,4,449,0,2,0,0,0.19320533333333334,0.5128132,0.009824,0.0,3.8848033333333336,2.784206,0.0,0.0,-16.690366666666666,-12.60225,-12.3607,-9.35187,0.93,0.9176,0.995,1.0,3,5,4.77941,3.8439927
-14.888,0,0.8875,3,425,0,2,0,1,0.26197333333333334,0.2043392,0.334016,0.235776,6.962970000000001,5.5527820000000006,4.77941,6.875,-15.367966666666668,-14.862193999999999,-18.8552,-18.8552,0.9325000000000001,0.9355,0.915,0.88,3,5,16.1095,5.9134355
-18.8552,0,0.951667,10,319,0,3,0,0,0.353664,0.2613184,0.44208,0.009824,8.74458,6.621747999999999,16.1095,0.0,-17.532799999999998,-16.76286,-14.888,-12.3607,0.9180556666666666,0.9258333999999999,0.8875,0.995,3,5,5.34483,8.168153
-22.7878,0,1.0,3,347,0,3,0,1,0.2423253333333333,0.2141632,0.284896,0.334016,7.151443333333333,5.246747999999999,5.34483,4.77941,-18.843666666666667,-17.54938,-18.8552,-18.8552,0.9463889999999999,0.9498333999999999,0.951667,0.915,3,5,0.0,6.0457673
89.0884,28,0.0,2,0,15,3,10,0,2.0597653333333334,1.3910784,0.0,0.44208,1.9302973333333322,5.335960399999999,0.0,16.1095,15.815133333333328,2.740439999999998,-22.7878,-14.888,0.6505556666666668,0.7508334,1.0,0.8875,3,5,0.446062,0.22347675
89.0884,28,0.0,2,0,15,3,1,0,3.9296,2.5031551999999997,5.8944,0.284896,0.2973746666666655,4.4692908,0.446062,5.34483,51.79633333333333,24.329159999999995,89.0884,-18.8552,0.3333333333333333,0.5678333999999999,0.0,0.951667,3,5,0.446062,0.3942161
89.0884,28,0.0,2,0,15,3,3,0,5.8944,3.5936192,5.8944,0.0,0.446062,1.3366032,0.446062,0.0,89.0884,45.12444,89.0884,-22.7878,0.0,0.3903334,0.0,1.0,3,5,0.446062,0.36641362
-32.3164,0,0.90375,3,387,0,4,0,0,4.181749333333333,3.6879295999999995,5.8944,5.8944,1.9099279999999987,1.2351692,0.446062,0.446062,48.620133333333335,42.4322,89.0884,89.0884,0.3012500000000001,0.38075000000000003,0.0,0.0,3,5,4.83766,11.944731
-18.94,0,0.9225,3,494,0,4,0,1,2.4199786666666667,3.8097471999999994,0.756448,5.8944,5.763940666666666,3.6367892,4.83766,0.446062,12.610666666666665,43.20175999999999,-32.3164,89.0884,0.60875,0.36524999999999996,0.90375,0.0,3,5,12.0081,11.324658
19.8227,26,0.89,2,358,14,5,0,0,0.815392,2.8469952,0.609088,5.8944,9.312453333333332,5.7658968,12.0081,0.446062,-10.4779,29.34862,-18.94,89.0884,0.9054166666666666,0.54325,0.9225,0.0,3,5,11.0916,6.7183294
-18.94,0,0.938,3,494,0,5,0,1,0.766272,1.7899327999999997,1.08064,0.756448,11.686833333333333,8.0688444,11.0916,4.83766,-6.019100000000001,7.742940000000002,19.8227,-32.3164,0.9168333333333334,0.73085,0.89,0.90375,3,5,11.9608,12.702369
-25.1761,0,0.865,4,412,0,1,0,0,0.6516586666666667,0.6641024,0.609088,0.609088,12.066833333333333,10.609252000000001,11.9608,12.0081,-8.097800000000001,-15.109959999999997,-18.94,-18.94,0.8976666666666667,0.9038499999999999,0.938,0.9225,4,5,13.1481,19.427984
7.90532,14,0.035,1,2,8,1,0,1,0.9234553333333334,0.8920188,0.265248,1.08064,8.812886666666666,9.907672000000002,13.1481,11.0916,-12.07026,-7.065615999999997,-25.1761,19.8227,0.6126666666666667,0.7301,0.865,0.89,4,5,1.32976,5.8549757
-21.2682,0,1.0,4,496,0,2,0,0,0.7204260000000001,0.7702012,1.89603,0.609088,4.825953333333332,7.5060519999999995,1.32976,11.9608,-12.846326666666668,-7.531255999999997,7.90532,-18.94,0.6333333333333334,0.7455999999999999,0.035,0.938,4,5,0.0,1.8052654
-4.00849,2,0.4475,8,63,2,2,0,1,1.3557100000000002,0.9882932,0.0,0.265248,1.5217933333333322,5.934856,0.0,13.1481,-5.790456666666667,-12.297493999999999,-21.2682,-25.1761,0.4941666666666667,0.6571,1.0,0.865,4,5,3.23562,6.314117
-32.3164,0,0.896667,3,391,0,3,0,0,0.9267293333333333,0.9882932,2.1711,1.89603,3.0677866666666653,4.736244,3.23562,1.32976,-19.19769666666667,-14.972773999999998,-4.00849,7.90532,0.781389,0.6488334,0.4475,0.035,4,5,5.96774,6.267989
-6.72983,0,0.998333,4,208,0,3,0,1,0.9300039999999999,0.9372084,0.609088,0.0,3.0677866666666653,2.106624,5.96774,0.0,-14.351573333333334,-11.283519999999998,-32.3164,-21.2682,0.7808333333333334,0.6755,0.896667,1.0,4,5,0.0,11.39616
89.0884,28,0.0,2,0,15,3,10,0,2.171104,1.7368824,0.009824,2.1711,2.137798333333332,1.9298030000000002,0.0,3.23562,16.68072333333333,4.953096000000002,-6.72983,-4.00849,0.6316666666666667,0.6685,0.998333,0.4475,4,5,0.445655,0.08823259
89.0884,28,0.0,2,0,15,3,1,0,3.9328746666666667,2.9157623999999998,5.8944,0.609088,0.29710333333333216,2.0189340000000002,0.445655,5.96774,57.14898999999999,27.024415999999995,89.0884,-32.3164,0.33277766666666675,0.46849999999999997,0.0,0.896667,4,5,0.445655,0.3500188
89.0884,28,0.0,2,0,15,3,3,0,5.8944,3.6604224000000003,5.8944,0.009824,0.445655,1.460941,0.445655,0.0,89.0884,45.643794,89.0884,-6.72983,0.0,0.379,0.0,0.998333,4,5,0.445655,0.34738943
-5.33911,0,0.9475,3,0,0,4,0,0,4.067136,3.6211264,5.8944,5.8944,2.384119999999999,1.519603,0.445655,0.445655,57.61256333333333,51.039252,89.0884,89.0884,0.3158333333333334,0.3891666,0.0,0.0,4,5,6.26105,5.776723
